Distance,Gray_Value
531,644.419
532,674.533
533,684.978
534,667.943
535,645.350
536,649.656
537,647.362
538,655.377
539,638.649
540,642.828
541,646.308
542,656.612
543,669.640
544,678.948
545,663.061
546,653.305
547,643.078
548,636.180
549,617.119
550,557.723
551,465.443
552,450.644
553,434.642
554,439.612
555,451.251
556,463.811
557,489.094
558,541.218
559,604.750
560,642.498
561,665.573
562,667.179
563,668.025
564,654.448
565,672.328
566,652.765
567,659.477
568,655.024
569,674.661
570,668.690
571,655.835
572,655.315
573,648.438
574,657.752
575,661.794
576,675.241
577,679.331
578,658.376
579,677.725
580,685.657
581,677.794
582,682.407
583,649.561
584,692.248
585,670.964
586,676.248
587,664.119
588,668.497
589,655.640
590,645.419
591,645.699
592,650.498
593,650.870
594,594.627
595,501.111
596,447.786
597,438.075
598,423.248
599,415.995
600,456.724
601,457.326
602,509.599
603,599.158
604,660.189
605,676.953
606,669.228
607,672.361
608,670.884
609,658.198
610,649.405
611,667.047
612,662.250
613,643.578
614,666.870
615,653.878
616,656.215
617,672.822
618,663.052
619,685.054
620,682.087
621,681.120
622,691.720
623,695.309
624,689.701
625,682.723
626,676.662
627,669.282
628,661.237
629,660.809
630,691.987
631,671.002
632,662.005
633,632.410
634,655.062
635,663.845
636,669.509
637,644.818
638,592.426
639,521.369
640,474.976
641,467.250
642,479.837
643,466.905
644,465.596
645,496.373
646,523.483
647,593.991
648,670.241
649,637.002
650,679.816
651,670.033
652,674.105
653,665.003
654,675.589
655,680.113
656,685.026
657,689.990
658,690.960
659,684.329
660,683.428
661,673.766
662,684.444
663,676.844
664,673.243
665,681.878
666,684.207
667,668.973
668,680.294
669,681.214
670,688.849
671,677.608
672,670.667
673,673.040
674,674.214
675,667.659
676,673.341
677,660.131
678,667.738
679,660.936
680,658.609
681,667.777
682,623.721
683,554.962
684,490.078
685,453.992
686,438.114
687,450.035
688,462.070
689,467.210
690,522.717
691,616.741
692,686.813
693,693.395
694,712.945
695,711.232
696,674.333
697,671.088
698,686.500
699,675.990
700,689.165
701,676.962
702,679.707
703,668.383
704,687.330
705,691.434
706,678.629
707,676.105
708,684.618
709,702.001
710,683.145
711,681.812
712,689.701
713,672.625
714,660.915
715,681.295
716,692.984
717,676.322
718,685.981
719,680.026
720,675.517
721,688.049
722,680.510
723,649.835
724,658.830
725,665.319
726,621.314
727,558.599
728,494.920
729,487.310
730,490.602
731,483.604
732,496.767
733,489.804
734,541.193
735,607.101
736,654.943
737,673.461
738,673.584
739,689.384
740,703.310
741,699.325
742,700.812
743,689.275
744,662.138
745,673.484
746,687.152
747,715.079
748,705.251
749,682.703
750,694.542
751,708.332
752,707.849
753,700.190
754,694.201
755,691.498
756,688.741
757,674.619
758,702.422
759,699.398
760,714.745
761,711.234
762,688.683
763,683.975
764,668.697
765,670.418
766,691.511
767,707.997
768,720.023
769,731.413
770,682.329
771,586.075
772,502.154
773,478.579
774,467.782
775,485.826
776,493.653
777,499.547
778,501.800
779,582.082
780,679.227
781,701.871
782,709.954
783,707.688
784,709.439
785,703.934
786,694.853
787,695.419
788,703.111
789,709.003
790,691.328
791,721.781
792,725.862
793,693.323
794,705.197
795,707.266
796,725.169
797,733.379
798,745.274
799,734.264
800,725.656
801,712.718
802,707.312
803,710.607
804,706.026
805,701.704
806,717.865
807,694.031
808,696.471
809,709.609
810,700.205
811,726.355
812,695.944
813,681.369
814,696.623
815,628.492
816,545.011
817,509.549
818,479.322
819,471.746
820,482.467
821,474.124
822,481.381
823,552.397
824,648.930
825,684.305
826,697.095
827,711.184
828,714.216
829,682.272
830,683.966
831,701.364
832,708.515
833,696.510
834,703.999
835,691.394
836,689.468
837,688.203
838,670.318
839,709.792
840,700.736
841,736.190
842,714.923
843,700.113
844,672.158
845,698.501
846,685.819
847,695.230
848,702.831
849,697.647
850,708.479
851,709.302
852,702.905
853,705.958
854,715.640
855,719.760
856,707.920
